,Timestamp,Station_ID,Station_Name,Value
265,2025-01-02T16:59:00+08:00,S121,Old Choa Chu Kang Road,26.1
266,2025-01-02T17:59:00+08:00,S109,Ang Mo Kio Avenue 5,29.1
267,2025-01-02T17:59:00+08:00,S106,Pulau Ubin,29.0
268,2025-01-02T17:59:00+08:00,S117,Banyan Road,25.9
269,2025-01-02T17:59:00+08:00,S107,East Coast Parkway,29.4
270,2025-01-02T17:59:00+08:00,S104,Woodlands Avenue 9,28.6
271,2025-01-02T17:59:00+08:00,S115,Tuas South Avenue 3,27.8
272,2025-01-02T17:59:00+08:00,S116,West Coast Highway,26.2
273,2025-01-02T17:59:00+08:00,S60,Sentosa,26.5
274,2025-01-02T17:59:00+08:00,S50,Clementi Road,28.5
275,2025-01-02T17:59:00+08:00,S43,Kim Chuan Road,29.3
276,2025-01-02T17:59:00+08:00,S24,Upper Changi Road North,29.1
277,2025-01-02T17:59:00+08:00,S06,Paya Lebar,30.0
278,2025-01-02T17:59:00+08:00,S111,Scotts Road,28.4
279,2025-01-02T17:59:00+08:00,S121,Old Choa Chu Kang Road,27.3
280,2025-01-03T08:59:00+08:00,S109,Ang Mo Kio Avenue 5,27.2
281,2025-01-03T08:59:00+08:00,S106,Pulau Ubin,27.7
282,2025-01-03T08:59:00+08:00,S117,Banyan Road,28.0
283,2025-01-03T08:59:00+08:00,S107,East Coast Parkway,27.8
284,2025-01-03T08:59:00+08:00,S104,Woodlands Avenue 9,27.1
285,2025-01-03T08:59:00+08:00,S115,Tuas South Avenue 3,27.0
286,2025-01-03T08:59:00+08:00,S116,West Coast Highway,27.3
287,2025-01-03T08:59:00+08:00,S60,Sentosa,28.4
288,2025-01-03T08:59:00+08:00,S50,Clementi Road,27.5
289,2025-01-03T08:59:00+08:00,S43,Kim Chuan Road,27.6
290,2025-01-03T08:59:00+08:00,S24,Upper Changi Road North,27.8
291,2025-01-03T08:59:00+08:00,S06,Paya Lebar,28.2
292,2025-01-03T08:59:00+08:00,S111,Scotts Road,27.1
293,2025-01-03T08:59:00+08:00,S121,Old Choa Chu Kang Road,27.2
294,2025-01-03T09:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.5
295,2025-01-03T09:59:00+08:00,S106,Pulau Ubin,29.1
296,2025-01-03T09:59:00+08:00,S117,Banyan Road,29.3
297,2025-01-03T09:59:00+08:00,S107,East Coast Parkway,28.6
298,2025-01-03T09:59:00+08:00,S104,Woodlands Avenue 9,28.2
299,2025-01-03T09:59:00+08:00,S115,Tuas South Avenue 3,28.0
300,2025-01-03T09:59:00+08:00,S116,West Coast Highway,28.5
301,2025-01-03T09:59:00+08:00,S60,Sentosa,30.2
302,2025-01-03T09:59:00+08:00,S50,Clementi Road,28.6
303,2025-01-03T09:59:00+08:00,S43,Kim Chuan Road,29.1
304,2025-01-03T09:59:00+08:00,S24,Upper Changi Road North,29.2
305,2025-01-03T09:59:00+08:00,S06,Paya Lebar,29.5
306,2025-01-03T09:59:00+08:00,S111,Scotts Road,28.6
307,2025-01-03T09:59:00+08:00,S121,Old Choa Chu Kang Road,28.7
308,2025-01-03T10:59:00+08:00,S109,Ang Mo Kio Avenue 5,29.7
309,2025-01-03T10:59:00+08:00,S106,Pulau Ubin,30.5
310,2025-01-03T10:59:00+08:00,S117,Banyan Road,30.4
311,2025-01-03T10:59:00+08:00,S107,East Coast Parkway,29.5
312,2025-01-03T10:59:00+08:00,S104,Woodlands Avenue 9,29.2
313,2025-01-03T10:59:00+08:00,S115,Tuas South Avenue 3,29.1
314,2025-01-03T10:59:00+08:00,S116,West Coast Highway,29.7
315,2025-01-03T10:59:00+08:00,S60,Sentosa,30.7
316,2025-01-03T10:59:00+08:00,S50,Clementi Road,29.4
317,2025-01-03T10:59:00+08:00,S44,Nanyang Avenue,29.7
318,2025-01-03T10:59:00+08:00,S43,Kim Chuan Road,29.8
319,2025-01-03T10:59:00+08:00,S24,Upper Changi Road North,30.3
320,2025-01-03T10:59:00+08:00,S06,Paya Lebar,30.9
321,2025-01-03T10:59:00+08:00,S111,Scotts Road,29.1
322,2025-01-03T10:59:00+08:00,S121,Old Choa Chu Kang Road,30.0
323,2025-01-03T11:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.8
324,2025-01-03T11:59:00+08:00,S106,Pulau Ubin,30.5
325,2025-01-03T11:59:00+08:00,S117,Banyan Road,31.1
326,2025-01-03T11:59:00+08:00,S107,East Coast Parkway,30.2
327,2025-01-03T11:59:00+08:00,S104,Woodlands Avenue 9,30.7
328,2025-01-03T11:59:00+08:00,S115,Tuas South Avenue 3,30.4
329,2025-01-03T11:59:00+08:00,S116,West Coast Highway,30.7
330,2025-01-03T11:59:00+08:00,S60,Sentosa,32.1
331,2025-01-03T11:59:00+08:00,S50,Clementi Road,30.9
332,2025-01-03T11:59:00+08:00,S44,Nanyang Avenue,30.7
333,2025-01-03T11:59:00+08:00,S43,Kim Chuan Road,30.7
334,2025-01-03T11:59:00+08:00,S24,Upper Changi Road North,30.9
335,2025-01-03T11:59:00+08:00,S06,Paya Lebar,32.3
336,2025-01-03T11:59:00+08:00,S111,Scotts Road,30.5
337,2025-01-03T11:59:00+08:00,S121,Old Choa Chu Kang Road,30.9
338,2025-01-03T12:59:00+08:00,S109,Ang Mo Kio Avenue 5,31.2
339,2025-01-03T12:59:00+08:00,S106,Pulau Ubin,32.1
340,2025-01-03T12:59:00+08:00,S117,Banyan Road,32.2
341,2025-01-03T12:59:00+08:00,S107,East Coast Parkway,30.3
342,2025-01-03T12:59:00+08:00,S104,Woodlands Avenue 9,31.6
343,2025-01-03T12:59:00+08:00,S115,Tuas South Avenue 3,31.5
344,2025-01-03T12:59:00+08:00,S116,West Coast Highway,31.4
345,2025-01-03T12:59:00+08:00,S60,Sentosa,32.0
346,2025-01-03T12:59:00+08:00,S50,Clementi Road,32.5
347,2025-01-03T12:59:00+08:00,S44,Nanyang Avenue,31.5
348,2025-01-03T12:59:00+08:00,S43,Kim Chuan Road,30.7
349,2025-01-03T12:59:00+08:00,S24,Upper Changi Road North,30.8
350,2025-01-03T12:59:00+08:00,S06,Paya Lebar,32.1
351,2025-01-03T12:59:00+08:00,S111,Scotts Road,31.3
352,2025-01-03T12:59:00+08:00,S121,Old Choa Chu Kang Road,30.9
353,2025-01-03T13:59:00+08:00,S109,Ang Mo Kio Avenue 5,30.9
354,2025-01-03T13:59:00+08:00,S106,Pulau Ubin,31.2
355,2025-01-03T13:59:00+08:00,S117,Banyan Road,30.0
356,2025-01-03T13:59:00+08:00,S107,East Coast Parkway,30.7
357,2025-01-03T13:59:00+08:00,S104,Woodlands Avenue 9,31.0
358,2025-01-03T13:59:00+08:00,S115,Tuas South Avenue 3,31.2
359,2025-01-03T13:59:00+08:00,S116,West Coast Highway,32.2
360,2025-01-03T13:59:00+08:00,S60,Sentosa,33.0
361,2025-01-03T13:59:00+08:00,S50,Clementi Road,31.5
362,2025-01-03T13:59:00+08:00,S44,Nanyang Avenue,32.9
363,2025-01-03T13:59:00+08:00,S43,Kim Chuan Road,31.2
364,2025-01-03T13:59:00+08:00,S24,Upper Changi Road North,31.3
365,2025-01-03T13:59:00+08:00,S06,Paya Lebar,32.2
366,2025-01-03T13:59:00+08:00,S111,Scotts Road,31.6
367,2025-01-03T13:59:00+08:00,S121,Old Choa Chu Kang Road,31.8
368,2025-01-03T14:59:00+08:00,S109,Ang Mo Kio Avenue 5,32.4
369,2025-01-03T14:59:00+08:00,S106,Pulau Ubin,30.9
370,2025-01-03T14:59:00+08:00,S117,Banyan Road,30.5
371,2025-01-03T14:59:00+08:00,S107,East Coast Parkway,31.3
372,2025-01-03T14:59:00+08:00,S104,Woodlands Avenue 9,31.8
373,2025-01-03T14:59:00+08:00,S115,Tuas South Avenue 3,31.0
374,2025-01-03T14:59:00+08:00,S116,West Coast Highway,30.3
375,2025-01-03T14:59:00+08:00,S60,Sentosa,30.9
376,2025-01-03T14:59:00+08:00,S50,Clementi Road,30.7
377,2025-01-03T14:59:00+08:00,S44,Nanyang Avenue,33.2
378,2025-01-03T14:59:00+08:00,S43,Kim Chuan Road,32.0
379,2025-01-03T14:59:00+08:00,S24,Upper Changi Road North,31.2
380,2025-01-03T14:59:00+08:00,S06,Paya Lebar,32.6
381,2025-01-03T14:59:00+08:00,S111,Scotts Road,30.5
382,2025-01-03T14:59:00+08:00,S121,Old Choa Chu Kang Road,33.4
383,2025-01-03T15:59:00+08:00,S109,Ang Mo Kio Avenue 5,28.2
384,2025-01-03T15:59:00+08:00,S106,Pulau Ubin,30.2
385,2025-01-03T15:59:00+08:00,S117,Banyan Road,32.0
386,2025-01-03T15:59:00+08:00,S107,East Coast Parkway,31.0
387,2025-01-03T15:59:00+08:00,S104,Woodlands Avenue 9,29.3
388,2025-01-03T15:59:00+08:00,S115,Tuas South Avenue 3,31.1
389,2025-01-03T15:59:00+08:00,S116,West Coast Highway,25.6
